table,original_name,import,ossl_name,original_description,data_type,units,comment
mgp_perbiogeosample,caNh4d,,,Ammonium acetate extractable Calcium from the <2 mm fraction,real,centimolesChargePerKilogram,
mgp_perbiogeosample,kNh4d,,,Ammonium acetate extractable potassium from the <2 mm fraction,real,centimolesChargePerKilogram,
mgp_perbiogeosample,mgNh4d,,,Ammonium acetate extractable magnesium from the <2 mm fraction,real,centimolesChargePerKilogram,
mgp_perbiogeosample,naNh4d,,,Ammonium acetate extractable sodium from the <2 mm fraction,real,centimolesChargePerKilogram,
mgp_perbiogeosample,cecdNh4,,,Ammonium acetate cation exchange capacity (CEC) of the <2 mm fraction,real,centimolesChargePerKilogram,
mgp_perbiogeosample,alSatCecd33,,,Aluminum saturation of the <2 mm fraction,real,percent,
mgp_perbiogeosample,baseSumCecd10,,,Sum of ammonium acetate extractable bases (calcium + potassium + magnesium + sodium) from the <2 mm fraction,real,centimolesChargePerKilogram,
mgp_perbiogeosample,bsesatCecd10,,,Base saturation of the <2 mm fraction,real,percent,
mgp_perbiogeosample,ececCecd33,,,"Effective cation exchange capacity (CEC) of the <2 mm fraction, calculated as the sum of ammonium acetate extractable bases plus extractable aluminum",real,centimolesChargePerKilogram,
mgp_perbiogeosample,alKcl,,,KCl extractable aluminum from the <2 mm fraction,real,centimolesChargePerKilogram,
mgp_perbiogeosample,feKcl,,,KCl extractable iron from the <2 mm fraction,real,milligramsPerKilogram,
mgp_perbiogeosample,mnKcl,,,KCl extractable manganese from the <2 mm fraction,real,milligramsPerKilogram,
mgp_perbiogeosample,bSatx,,,Boron in the saturation extract from the <2 mm fraction,real,millimolesPerLiter,
mgp_perbiogeosample,brSatx,,,Bromine in the saturation extract from the <2 mm fraction,real,millimolesPerLiter,
mgp_perbiogeosample,caSatx,,,Calcium in the saturation extract from the <2 mm fraction,real,millimolesPerLiter,
mgp_perbiogeosample,clSatx,,,Chlorine in the saturation extract from the <2 mm fraction,real,millimolesPerLiter,
mgp_perbiogeosample,co3Satx,,,Carbonate in the saturation extract from the <2 mm fraction,real,millimolesPerLiter,
mgp_perbiogeosample,ecSatp,,,Electrical conductivity of the saturated paste from the <2 mm fraction,real,decisiemensPerMeter,
