sample_id,tc,tn,ph_h2o,ph_kcl,ph_cacl2,clay_0-0.002,silt_0.002-0.05,silt_0.002-0.063,sand_0.05-2,sand_0.063-2,al_icp,fe_icp,ca_icp,mg_icp,k_icp,mn_icp,na_icp,p_icp
icr048444,40.5,2.984,NA,NA,NA,3.27,33.23,NA,63.5,NA,12.5885281,10.9091116,1807.14684,2322.798687,1681.7819414,203.4222883,51.3254933,468.3443381
icr048340,19.56,1.814,NA,NA,NA,48.85,45.15,NA,6,NA,61.3923385,107.3670541,286.8141813,498.6154229,287.6260861,763.3669749,38.450015,922.2179061
icr048446,34.72,2.16,NA,NA,NA,NA,NA,NA,NA,NA,16.9255955,13.7383854,381.5114264,937.8822566,2826.0869565,71.5333924,76.3128828,170.8853264
icr048290,42.3,3.646,NA,NA,NA,16.65,70,NA,13.35,NA,56.9172155,101.1283182,4278.3651286,5168.6108019,334.8706637,1361.2979955,203.0278725,1158.1836914
icr048419,12.46,1.051,NA,NA,NA,7.97,26.93,NA,65.1,NA,31.0784021,15.5216575,245.6097261,1385.9405975,2983.3979521,83.3318714,57.1627398,153.5060788
icr048276,21.76,1.715,NA,NA,NA,22.5,63.1,NA,14.4,NA,49.5842778,57.0844207,130.2619924,386.8386441,1072.3167214,149.9986579,36.8049339,749.9932895
icr048182,27.29,1.997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr048218,34.94,2.512,NA,NA,NA,9.19,57.51,NA,33.3,NA,28.7331601,43.7756498,316.580926,3857.4697614,4464.6616541,299.3754409,100.7518797,437.0193218
icr048318,31.45,2.436,NA,NA,NA,38.05,53.4,NA,8.55,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr048424,40.72,2.821,NA,NA,NA,26.15,46.5,NA,27.35,NA,46.0684379,62.0077286,417.920428,431.8511089,355.5667001,626.8806419,43.1293882,835.8408559
icr048333,27.36,2.373,NA,NA,NA,NA,NA,NA,NA,NA,62.7021142,104.4337966,1093.3114483,678.0226036,444.2884365,1011.383717,57.1657808,2099.0449769
icr008368,22.1,1.777,NA,NA,NA,50.2,44.9,NA,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008437,58.82,4.711,NA,NA,NA,18.2,68.1,NA,13.7,NA,22.7595979,42.8541314,187.9109714,393.7182257,2345.6419494,85.0073442,79.0553387,675.5846828
icr008431,56.03,3.721,NA,NA,NA,23.2,63.35,NA,13.45,NA,28.3228448,101.0135526,199.6706303,360.2752677,776.3447311,160.6046374,49.490102,638.0778837
icr008467,25.57,2.326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008530,39.2,3.282,NA,NA,NA,7.35,41.06,NA,51.6,NA,10.8109561,17.9972599,1386.0200141,537.6077631,574.1818912,840.0121298,95.8642843,449.4064894
icr008541,32.21,2.378,NA,NA,NA,13.6,55.05,NA,31.35,NA,17.7939426,43.4195416,280.4956475,731.9183302,1128.517262,806.4249866,105.7673119,560.991295
icr008520,49.93,3.844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008373,455.4,24.2,NA,NA,NA,1.04,13.76,NA,85.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008442,54.01,4.043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008409,26.9,2.363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008455,32.22,2.366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008470,40.82,3.017,NA,NA,NA,NA,NA,NA,NA,NA,48.9867466,89.5712357,1209.4266414,1140.562491,799.293999,804.8497578,170.4488149,2074.5325308
icr008420,24.48,2.43,NA,NA,NA,41.3,48.9,NA,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008457,24.98,2.435,NA,NA,NA,NA,NA,NA,NA,NA,71.6915394,112.9704541,579.2207866,1737.6623599,538.7457559,3907.366454,124.8252447,1305.6206256
icr008417,26.29,2.172,NA,NA,NA,37.7,43.8,NA,18.5,NA,69.8777089,111.7540902,729.8325793,472.2446101,424.1386258,321.9849614,23.1714689,721.2463136
icr008501,36.2,2.974,NA,NA,NA,NA,NA,NA,NA,NA,60.0905162,126.0709114,1136.6985048,755.0333134,791.6959887,1539.1063697,58.3090379,1427.0959331
icr008447,22.19,1.851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008518,25.41,2.142,NA,NA,NA,45.2,44.9,NA,9.9,NA,58.8567553,99.7873749,94.0804139,477.370989,471.5658791,212.5520462,32.0384461,940.804139
icr008403,31.62,2.444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008387,38.52,2.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008421,41.06,3.46,NA,NA,NA,NA,NA,NA,NA,NA,74.2020034,113.4336369,2811.7271248,1506.1158562,657.6830249,3991.4401638,224.7586484,2471.3356155
icr008519,35.51,2.484,NA,NA,NA,25.8,46.75,NA,27.45,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008495,23.18,1.707,NA,NA,NA,NA,NA,NA,NA,NA,54.565305,129.0688384,105.4413813,483.5759899,214.767126,574.4737324,31.1839855,854.4387792
icr008516,21.04,1.575,NA,NA,NA,49.2,45.95,NA,4.85,NA,60.6763176,134.0264839,294.7339756,1328.3784816,205.5001511,684.9451546,50.8713609,946.4696681
icr008510,25.63,1.861,NA,NA,NA,NA,NA,NA,NA,NA,50.2476422,101.2728107,74.3734809,458.6364655,368.6058175,238.6149179,36.6098295,855.2950303
icr008393,74.3,6.771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008370,85.31,5.777,NA,NA,NA,26.3,55.85,NA,17.85,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008394,50.61,3.365,NA,NA,NA,21.2,68.6,NA,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008536,13.93,1.049,NA,NA,NA,NA,NA,NA,NA,NA,13.7059313,23.9240966,64.5086192,524.6701029,996.5979588,64.5086192,53.5321193,154.8206861
icr008524,9.392,1.157,NA,NA,NA,45.5,33.6,NA,20.9,NA,41.1773732,81.7048624,113.1627912,396.0697692,695.7393484,200.2110921,27.0676692,927.0644049
icr008533,28.32,1.904,NA,NA,NA,6.99,37.32,NA,55.7,NA,15.1962604,27.3853797,73.7682546,542.4136365,1186.6115536,47.7324,52.9287227,229.9833819
icr008526,29.74,2.235,NA,NA,NA,NA,NA,NA,NA,NA,37.2266705,64.5489527,993.4775326,648.6340916,1272.6638773,550.1073941,46.3239689,940.1089048
icr008539,19.72,1.441,NA,NA,NA,NA,NA,NA,NA,NA,20.9520052,39.5415099,162.0000405,1561.5003904,2119.0595298,243.0000608,68.5342671,369.0000923
icr008529,40.93,3.805,NA,NA,NA,28.45,64.3,NA,7.25,NA,85.6080818,110.3544915,2903.0652474,2771.725322,675.1075968,1023.5456255,276.7490742,2703.7908779
icr008451,13.55,1.419,NA,NA,NA,57.7,39.3,NA,3,NA,50.69448,86.2608409,193.4107847,304.6219859,249.2243019,778.4784083,20.0180162,512.5385794
icr008499,32.65,2.477,NA,NA,NA,43.75,50.3,NA,5.95,NA,65.5482761,102.0331457,159.4439325,833.6639897,273.1912339,2564.769542,108.075653,683.3311391
icr008436,27.78,2.022,NA,NA,NA,34.4,54.45,NA,11.15,NA,34.8937336,66.3271761,51.5901975,417.4115979,701.6485726,182.9107002,43.7273824,534.6620467
icr008443,26.43,2.119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008486,24.95,2.046,NA,NA,NA,NA,NA,NA,NA,NA,54.7986039,93.0266339,772.4555128,765.853329,792.5173489,785.6598806,119.6821885,1013.4352241
icr008465,51.55,4.207,NA,NA,NA,NA,NA,NA,NA,NA,72.6361409,129.1669771,978.6789178,1410.4490286,565.6585954,3487.0576567,113.533608,2113.6174947
icr008485,25.75,2.253,NA,NA,NA,42.4,47.65,NA,9.95,NA,55.7537299,98.0275284,1152.7136325,776.0844258,794.4111776,528.8026235,72.8542914,1597.8208767
icr008424,28.38,2.281,NA,NA,NA,NA,NA,NA,NA,NA,79.3764999,149.3941091,524.5619907,365.8709683,463.9743461,361.4628844,22.0462972,908.0652949
icr008434,20.55,2.026,NA,NA,NA,16,74.75,NA,9.25,NA,17.1778224,53.9324136,65.3681746,238.1269216,838.8861263,37.3532426,39.7812034,434.2314454
icr008482,182.1,14.63,NA,NA,NA,2.64,26.77,NA,70.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008459,32.1,2.189,NA,NA,NA,NA,NA,NA,NA,NA,43.9722881,86.6547693,92.4434928,854.0017908,546.2016436,369.7739713,202.9464823,1113.7239849
icr008426,30.25,2.327,NA,NA,NA,35.4,57.1,NA,7.5,NA,44.9617115,98.2421513,74.2987942,450.1632825,402.9267315,319.0477633,42.5979753,721.1353555
icr008413,17.62,3.096,NA,NA,NA,NA,NA,NA,NA,NA,21.1781618,39.0154485,35.849618,259.9097307,955.5312376,58.2556293,48.2491047,241.9849217
icr008487,43.8,3.58,NA,NA,NA,33.9,47.95,NA,18.15,NA,81.0978532,113.1215519,127.4810531,348.6981747,209.7307038,1192.322791,25.5280809,941.1101275
icr008427,27.65,2.06,NA,NA,NA,19.7,69.75,NA,10.55,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008331,39.37,2.439,NA,NA,NA,34.9,45.7,NA,19.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008306,34.24,2.758,NA,NA,NA,40.5,48.4,NA,11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008305,32.18,2.646,NA,NA,NA,33.2,46.6,NA,20.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008351,73.35,4.604,NA,NA,NA,21.6,48.6,NA,29.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008359,72.49,4.326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008353,46.78,4.192,NA,NA,NA,22.9,64.5,NA,12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008349,34.99,2.481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008322,30.09,2.421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008309,25.7,2.224,NA,NA,NA,45.5,46.55,NA,7.95,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008310,19.46,1.907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008323,25.73,2.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008320,21.98,1.92,NA,NA,NA,21.45,64.65,NA,13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008315,24.84,2.349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008342,32.9,2.708,NA,NA,NA,24.3,43,NA,32.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008313,8.791,1.118,NA,NA,NA,65.15,33.55,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008336,34.04,2.681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008343,18.82,1.845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008307,28.84,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008346,18.24,1.675,NA,NA,NA,51,42.3,NA,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008350,39.36,3.354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008347,24.91,2.164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008344,48,3.833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008333,22.8,2.137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008338,31.1,2.646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008308,31.91,2.735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008332,27.28,2.417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008354,36.43,3.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008319,23.45,1.902,NA,NA,NA,49.2,44.6,NA,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008340,33.02,2.646,NA,NA,NA,42.4,49,NA,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008364,18.99,1.868,NA,NA,NA,55.3,40.1,NA,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008360,49.03,3.177,NA,NA,NA,28,51.3,NA,20.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008361,24.49,1.821,NA,NA,NA,27.7,48.55,NA,23.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008355,32.89,2.654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008345,36.52,2.878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008358,44.54,3.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008325,17.88,1.609,NA,NA,NA,54.6,41.55,NA,3.85,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008329,26.54,1.898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008326,25.16,1.876,NA,NA,NA,47.8,44.6,NA,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008318,43.98,3.601,NA,NA,NA,26.4,45.6,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008357,55.67,4.205,NA,NA,NA,30.9,49,NA,20.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008324,42.41,2.874,NA,NA,NA,27.05,46.95,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008327,18.18,1.438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008316,43.27,3.492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008317,28.96,2.517,NA,NA,NA,42.8,49,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008312,14.37,1.541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008356,29.52,2.38,NA,NA,NA,20.3,62.6,NA,17.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008334,54.19,4.431,NA,NA,NA,14.65,37.35,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008330,37.8,2.747,NA,NA,NA,43.6,47,NA,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
icr008352,27.48,2.031,NA,NA,NA,40.9,48.7,NA,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
89_736,5.836,1.034,5.6,5.7,NA,67.7,19.1,NA,13.2,NA,45.0161619,91.3299072,228.9324878,95.3885366,190.8891547,643.872622,20.9330144,572.3312195
89_231,29.34,2.288,6.4,5.4,NA,24.4,53.5,NA,22.1,NA,42.7964123,90.4373461,2406.9871398,1312.0794559,222.9811169,2610.5856761,117.5170751,266.9403031
89_835,7.463,0.679,5.9,5,NA,41.3,13.5,NA,45.2,NA,32.9853275,36.2057636,398.880615,554.2341177,673.9717802,499.6504546,45.5318723,117.5648129
89_804,30.31,1.826,6.1,5.2,NA,36.6,20.9,NA,42.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
89_805,17.92,1.45,6.2,5,NA,47.9,17.8,NA,34.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
89_233,5.506,0.832,5.4,5,NA,66.6,19.8,NA,13.6,NA,53.1724761,92.5512554,445.4694048,552.5533964,166.4513565,1452.0589253,57.1400179,175.6177461
89_1594,10.3,0.894,6.5,5.5,NA,43.8,15.4,NA,40.8,NA,42.1694503,89.2972999,2703.6200419,8422.4786695,5338.1982889,1088.4704065,244.0865627,355.5084795
89_1593,13.77,1.083,6.4,4.7,NA,39,20.3,NA,40.7,NA,36.9617386,80.1645354,2687.8028043,8552.9089235,4947.27857,854.4008914,234.4848363,267.0002786
89_1194,22.8,1.67,7.4,6.7,NA,32,61.2,NA,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
89_1592,19.59,1.393,6.5,5,NA,40.3,18.4,NA,41.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
89_1193,54.22,3.441,7.9,7.3,NA,28.5,62,NA,9.5,NA,22.5274152,66.134749,19922.2613073,4847.7783545,2042.5193721,931.616536,135.1082853,480.562376
89_1195,13.15,1.402,7.2,6,NA,45,49.2,NA,5.8,NA,25.0668714,77.6174176,1664.5466577,1754.6381005,1775.3805827,1081.0973138,149.2085896,253.1140536
89_1226,6.753,1.089,5.7,3.8,NA,63.5,13.1,NA,23.4,NA,41.8616979,47.1465986,117.4241175,746.4818896,1253.6282654,125.8115544,41.5373836,104.842962
89_1412,19.97,1.315,4.9,3.9,NA,45.5,37.9,NA,16.6,NA,16.6112957,36.2786873,364.8037356,313.9008888,607.5707238,101.8056937,65.9418101,271.4818497
89_734,25,1.668,5.6,4.4,NA,66.5,17,NA,16.5,NA,58.4023552,89.4348268,707.4666356,343.5098115,210.3997595,1055.0658496,36.0685302,748.3606608
89_1415,6.113,0.694,5.3,3.9,NA,61,31.4,NA,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
89_1225,11.19,1.201,5.3,3.8,NA,60,9.9,NA,30.1,NA,40.8738995,44.1013353,191.712139,801.7053085,1248.3880567,161.2124805,31.7428827,135.0699161
89_1544,17.34,2.19,5.1,4.6,NA,42.3,17.4,NA,40.3,NA,27.4319677,49.3884154,814.2380055,1190.3580994,1027.1798433,487.7161657,85.8049797,425.718348
89_1545,10.12,1.115,4.8,3.5,NA,49.5,16.9,NA,33.6,NA,30.779876,55.1761652,154.9755992,848.060918,977.5042873,258.2926654,64.5616867,327.1707095
89_1546,7.48,0.926,4.7,3.6,NA,57,16.4,NA,26.6,NA,30.8644395,56.8130273,113.0896949,646.8730549,888.9000806,185.4670996,57.4133763,294.0332068
89_1413,7.435,0.658,4.9,3.9,NA,48.8,38.4,NA,12.8,NA,16.1259286,35.5085615,131.1051104,241.0642352,540.2298851,71.8963508,72.4637681,236.8350381
89_1224,20.55,1.609,5.8,4.6,NA,46,13.2,NA,40.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
88_744,5.113,0.709,6.2,5.2,NA,45.9,50.7,NA,3.4,NA,44.6920944,118.255362,1089.1911796,1168.8880952,108.2033216,2111.9682629,53.8500252,101.8349477
89_754,18.55,1.309,6.6,4.9,NA,40.5,35.2,NA,24.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
89_279,26.56,1.543,6.1,4.8,NA,35.3,24.2,NA,40.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
89_753,33.29,2.015,6.6,5.4,NA,33.5,38.4,NA,28.1,NA,30.8223885,44.2414452,4601.3664536,6254.9825228,267.866067,1069.9868683,109.4452774,173.3970814
89_1218,17.26,0.973,6.3,5,NA,27.3,11.9,NA,60.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
89_556,54.96,4.883,4.4,3.5,NA,28,46.5,NA,25.5,NA,18.9985739,36.8436478,1401.289015,632.2889458,1101.1696491,230.7000208,62.9811057,418.6778155
89_1122,41.91,2.422,4.6,3.8,NA,63.3,28.4,NA,8.3,NA,32.6568696,54.232742,246.679243,778.9870831,1907.9276217,90.8818264,38.9883035,545.2909582
89_280,9.093,0.919,5.8,4.3,NA,62.7,15.5,NA,21.8,NA,38.0946292,54.6776676,315.0958302,881.3550034,1230.4629169,68.4990935,55.2513688,82.1989122
89_785,3.36,0.44,5.7,4.5,NA,39.7,18.9,NA,41.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
89_834,21.1,1.208,6.9,6.4,NA,21,17.2,NA,61.8,NA,16.8753907,19.2193249,1164.9493411,669.0271316,567.6812175,608.2064833,130.6567881,163.7478993
89_783,11.66,0.801,5.2,4.3,NA,38.7,17.5,NA,43.8,NA,39.1161299,43.2596976,61.1872423,118.0039673,291.1696903,275.3425903,7.0161371,218.5258653
89_1219,6.764,0.745,6.1,5.2,NA,55.5,17.6,NA,25.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
89_558,5.422,1.226,4.8,3.3,NA,30.7,49.5,NA,19.8,NA,23.7375517,42.7028419,107.755105,368.1632753,1128.2386021,58.3673485,57.2404097,296.3265387
89_1124,8.576,0.996,5.3,3.8,NA,69.5,25.7,NA,4.8,NA,36.591163,68.9785262,37.72717,913.8358946,2639.0288132,100.6057866,36.7721136,406.615054
88_742,9.017,1.166,5.8,4.7,NA,51.3,41.1,NA,7.6,NA,44.3417973,104.2042237,1347.0561135,1160.4706383,219.5929008,3617.9378725,92.2490725,145.6276879
89_232,8.634,0.963,6.3,5.4,NA,61.3,21.2,NA,17.4,NA,50.5289949,90.8188235,664.8459964,779.3227905,153.3680834,1981.3291284,90.2165196,198.1329128
89_1123,17.74,1.331,4.6,3.8,NA,61.3,32.7,NA,6,NA,32.4793663,63.9296504,68.846537,785.6604813,2111.7824773,93.1453148,34.2396777,404.9796295
89_806,9.986,1.043,6.5,5.6,NA,47.6,19.9,NA,32.5,NA,44.9655542,75.6383439,3788.5398666,1645.3877523,146.4686998,972.4840777,44.141252,87.5696563
11_976,12.96,1.995,6.84,6.74,NA,NA,NA,NA,NA,NA,24.6625184,40.119871,6247.8997926,1524.8954242,1808.6696562,2196.9617965,164.9227703,811.1145873
11_937,5.413,1.278,5.47,4.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11_1035,14.6,1.071,5.44,4.11,NA,NA,NA,NA,NA,NA,19.6111958,62.781017,55.1114452,462.0882716,1141.7678339,1114.9469305,72.7400421,368.8227489
11_1036,5.183,0.695,5.17,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08_669,10.91,1.294,4.82,4.1,NA,59.844415,NA,NA,NA,NA,42.9620831,71.9575342,368.5350952,710.4290992,1781.4009662,497.3003694,75.9863124,608.3049162
08_670,8.141,0.99,4.82,5.16,NA,56.267219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08_671,6.724,0.916,7.25,6.54,NA,57.653989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08_672,7.523,1.595,4.75,4.59,NA,58,NA,NA,NA,NA,41.3559505,69.7050953,1791.5469915,1172.8832822,1344.4622151,330.8132334,71.4714114,829.1812215
08_673,13.34,2.24,4.3,4.2,NA,60.090938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08_674,4.651,1.302,6.81,6.63,NA,56.592062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08_675,2.678,0.698,7.62,7.4,NA,55.747073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08_676,3.165,0.514,7.99,7.5,NA,53.173602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08_677,2.241,0.444,7.92,7.48,NA,40.585285,NA,NA,NA,NA,39.0688516,123.6475798,3739.8484548,1655.5850867,1328.2571912,748.9551583,104.5088086,660.2631001
08_693,7.27,0.834,4.86,3.89,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08_694,6.595,0.748,4.87,3.69,NA,42.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08_695,6.485,0.762,4.5,3.84,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08_696,9.483,1.268,4.42,3.62,NA,41.2,NA,NA,NA,NA,26.1691929,51.937832,697.5793995,665.6900555,1533.4987593,322.8796078,173.6972705,1000.5281673
08_697,9.454,1.232,3.73,3.55,NA,42,NA,NA,NA,NA,26.7544437,51.7677616,780.3189268,670.800481,1611.5373119,314.8655319,195.2774733,1154.5069502
08_698,3.243,0.957,3.56,3.46,NA,32,NA,NA,NA,NA,26.885652,97.8753588,738.9194214,674.6655586,1455.6070062,550.7473948,250.6543185,1326.3833092
08_699,2.336,0.798,3.65,3.34,NA,33.04,NA,NA,NA,NA,22.8658537,70.6809957,854.6701248,658.1417003,1313.7117729,498.1767037,248.3509894,936.9378373
08_700,2.093,0.917,4.44,4.3,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08_701,3.042,0.755,7.79,7.66,NA,23,NA,NA,NA,NA,19.3242138,94.400245,5070.0990558,1557.8777228,1591.3891963,4846.212437,550.7494216,1194.0619672
08_718,11.4,1.106,5.31,4.45,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08_719,5.526,0.902,5.14,4.26,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08_720,3.056,0.53,7.74,6.81,NA,51.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08_721,4.818,0.918,6.89,6.51,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08_722,4.959,1.101,6.9,6.53,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
08_723,4.13,0.942,5.19,4.68,NA,51.44,NA,NA,NA,NA,31.9204601,55.6630144,949.684399,1419.91648,997.4836437,451.7916073,32.7126321,622.3659896
09_989,26.22,2.468,6.01,5.37,NA,69.455311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
09_982,6.934,1.24,8.07,7.47,NA,68.673913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
09_973,7.034,1.255,8.09,7.59,NA,69.570132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
09_960,6.894,1.012,8.28,7.82,NA,68.559556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
09_945,4.259,0.886,8.46,7.86,NA,67.583758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
09_921,7.631,0.811,8.55,7.85,NA,64.638604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
09_892,4.389,1.052,8.56,7.68,NA,63.244698,NA,NA,NA,NA,36.2886341,45.5530094,3507.7183875,2194.9621679,1977.3274478,468.5400012,62.1990369,371.4551361
09_864,1.261,0.603,5.97,4.77,NA,58.087938,NA,NA,NA,NA,34.605176,352.6611485,619.4812559,862.5085179,1059.7418193,681.4293815,58.0406284,671.8989007
10_003,3.26,1.05,8.54,7.64,NA,47.821133,NA,NA,NA,NA,23.5788246,111.5963383,447.4072748,645.7424585,1041.4372936,299.8089986,45.5409869,479.6943978
08_683,2.987,0.553,4.38,4.31,NA,55.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
