table,original_name,import,ossl_abbrev,ossl_method,ossl_unit,ossl_convert,ossl_name,comment
FR556::1_Pre-harvest soil chemistry,Total Fe (mg/kg,NA,NA,NA,NA,NA,NA,NA
FR556::1_Pre-harvest soil chemistry,Total Co (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR556::1_Pre-harvest soil chemistry,Total Ni (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR556::1_Pre-harvest soil chemistry,Total Cu (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR556::1_Pre-harvest soil chemistry,Total Zn (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR556::1_Pre-harvest soil chemistry,Total As (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR556::1_Pre-harvest soil chemistry,Total Se (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR556::1_Pre-harvest soil chemistry,Total Sr (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR556::1_Pre-harvest soil chemistry,Total Cd (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR556::1_Pre-harvest soil chemistry,Total Ba (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR556::1_Pre-harvest soil chemistry,Total Tl (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR556::1_Pre-harvest soil chemistry,Total Pb (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR556::1_Pre-harvest soil chemistry,Total U (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR556::2_Pre-harvest soil bulk density,Site,NA,NA,NA,NA,NA,NA,NA
FR556::2_Pre-harvest soil bulk density,Trial ID,NA,NA,NA,NA,NA,NA,NA
FR556::2_Pre-harvest soil bulk density,PSP ID,NA,NA,NA,NA,NA,NA,NA
FR556::2_Pre-harvest soil bulk density,Sampling year,NA,NA,NA,NA,NA,NA,NA
FR556::2_Pre-harvest soil bulk density,Sample replicate or description,NA,NA,NA,NA,NA,NA,NA
FR556::2_Pre-harvest soil bulk density,Sampling Method,NA,NA,NA,NA,NA,NA,NA
FR556::2_Pre-harvest soil bulk density,Depth increment (cm),NA,NA,NA,NA,NA,NA,NA
FR556::2_Pre-harvest soil bulk density,Sample thickness (cm),NA,NA,NA,NA,NA,NA,NA
FR556::2_Pre-harvest soil bulk density,No. Bulked Samples,NA,NA,NA,NA,NA,NA,NA
FR556::2_Pre-harvest soil bulk density,Area (cm2),NA,NA,NA,NA,NA,NA,NA
FR556::2_Pre-harvest soil bulk density,Vol. Total (cm3),NA,NA,NA,NA,NA,NA,NA
FR556::2_Pre-harvest soil bulk density,Bulk density (<2 mm) (g/cm3),TRUE,bd,usda.a4,g.cm3,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",bd_usda.a4_g.cm3,NA
FR556::2_Pre-harvest soil bulk density,Bulk density (>2 mm) (g/cm3),NA,NA,NA,NA,NA,NA,NA
FR556::2_Pre-harvest soil bulk density,Total bulk density (g/cm3),NA,NA,NA,NA,NA,NA,NA
FR556::2_Pre-harvest soil bulk density,Bulk density dead organic material >2mm (g/cm3),NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,Site,NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,Trial ID,NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,PSP ID,NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,Lab Job No.,NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,Lab ID,NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,Sampling Date,NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,Sampling position ID,NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,Sampling Method,NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,Depth increment (cm),NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,No. Bulked Samples,NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,Soil size class fraction,NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,Block,NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,Plot,NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,Sub-Plot ID,NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,Sample thickness (cm),NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,Sample Type,NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,Comment,NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,pH,TRUE,ph.h2o,usda.a268,index,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",ph.h2o_usda.a268_index,NA
FR556::6_Time zero soil chemistry,Total C (%),TRUE,c.tot,usda.a622,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",c.tot_usda.a622_w.pct,NA
FR556::6_Time zero soil chemistry,Total N (%),TRUE,n.tot,usda.a623,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",n.tot_usda.a623_w.pct,NA
FR556::6_Time zero soil chemistry,C/N,NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,Total P (mg/kg)...22,NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,Bray P (mg/kg) seq 1,NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,Bray P (mg/kg) seq 2,NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,Bray P (mg/kg) seq 3,NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,Ex. Ca          (cmol/kg),TRUE,ca.ext,usda.a722,cmolc.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",ca.ext_usda.a722_cmolc.kg,NA
FR556::6_Time zero soil chemistry,Ex. Mg (cmol/kg),TRUE,mg.ext,usda.a724,cmolc.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",mg.ext_usda.a724_cmolc.kg,NA
FR556::6_Time zero soil chemistry,Ex. K  (cmol/kg),TRUE,k.ext,usda.a725,cmolc.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",k.ext_usda.a725_cmolc.kg,NA
FR556::6_Time zero soil chemistry,Ex. Na (cmol/kg),TRUE,na.ext,usda.a726,cmolc.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",na.ext_usda.a726_cmolc.kg,NA
FR556::6_Time zero soil chemistry,CEC (cmol/kg),TRUE,cec,usda.a723,cmolc.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",cec_usda.a723_cmolc.kg,NA
FR556::6_Time zero soil chemistry,BS (%),NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,Sulphate S (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,Mehlich 3 Al (mg/kg),TRUE,al.ext,usda.a1056,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",al.ext_usda.a1056_mg.kg,NA
FR556::6_Time zero soil chemistry,Mehlich 3 B (mg/kg),TRUE,b.ext,mel3,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",b.ext_mel3_mg.kg,NA
FR556::6_Time zero soil chemistry,Mehlich 3 Ca (mg/kg),TRUE,ca.ext,usda.a1059,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",ca.ext_usda.a1059_mg.kg,NA
FR556::6_Time zero soil chemistry,Mehlich 3 Cu (mg/kg),TRUE,cu.ext,usda.a1063,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",cu.ext_usda.a1063_mg.kg,NA
FR556::6_Time zero soil chemistry,Mehlich 3 Fe (mg/kg),TRUE,fe.ext,usda.a1064,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",fe.ext_usda.a1064_mg.kg,NA
FR556::6_Time zero soil chemistry,Mehlich 3 K (mg/kg),TRUE,k.ext,usda.a1065,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",k.ext_usda.a1065_mg.kg,NA
FR556::6_Time zero soil chemistry,Mehlich 3 Mg (mg/kg),TRUE,mg.ext,usda.a1066,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",mg.ext_usda.a1066_mg.kg,NA
FR556::6_Time zero soil chemistry,Mehlich 3 Mn (mg/kg),TRUE,mn.ext,usda.a1067,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",mn.ext_usda.a1067_mg.kg,NA
FR556::6_Time zero soil chemistry,Mehlich 3 Na (mg/kg),TRUE,na.ext,usda.a1068,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",na.ext_usda.a1068_mg.kg,NA
FR556::6_Time zero soil chemistry,Mehlich 3 P (mg/kg),TRUE,p.ext,usda.a652,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",p.ext_usda.a652_mg.kg,NA
FR556::6_Time zero soil chemistry,Mehlich 3 Zn (mg/kg),TRUE,zn.ext,usda.a1073,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",zn.ext_usda.a1073_mg.kg,NA
FR556::6_Time zero soil chemistry,Inorganic P (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,Organic P (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,P Retention,NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,Total B (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,Total Na (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,Total Mg (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,Total Al (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,Total P (mg/kg)...51,NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,Total S (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,Total K (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,Total Ca (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,Total V (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,Total Cr (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,Total Mn (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,Total Fe (mg/kg,NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,Total Co (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,Total Ni (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,Total Cu (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,Total Zn (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,Total As (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,Total Se (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,Total Sr (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,Total Cd (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,Total Ba (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,Total Tl (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,Total Pb (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR556::6_Time zero soil chemistry,Total U (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR556::7_Time zero soil bulk density,Site,NA,NA,NA,NA,NA,NA,NA
FR556::7_Time zero soil bulk density,Trial ID,NA,NA,NA,NA,NA,NA,NA
FR556::7_Time zero soil bulk density,PSP ID,NA,NA,NA,NA,NA,NA,NA
FR556::7_Time zero soil bulk density,Sampling year,NA,NA,NA,NA,NA,NA,NA
FR556::7_Time zero soil bulk density,Block ID,NA,NA,NA,NA,NA,NA,NA
FR556::7_Time zero soil bulk density,Plot ID,NA,NA,NA,NA,NA,NA,NA
FR556::7_Time zero soil bulk density,Sub-plot ID,NA,NA,NA,NA,NA,NA,NA
FR556::7_Time zero soil bulk density,Sample replicate or description,NA,NA,NA,NA,NA,NA,NA
FR556::7_Time zero soil bulk density,Sampling Method,NA,NA,NA,NA,NA,NA,NA
FR556::7_Time zero soil bulk density,Depth increment (cm),NA,NA,NA,NA,NA,NA,NA
FR556::7_Time zero soil bulk density,Sample thickness (cm),NA,NA,NA,NA,NA,NA,NA
FR556::7_Time zero soil bulk density,No. Bulked Samples,NA,NA,NA,NA,NA,NA,NA
FR556::7_Time zero soil bulk density,Area (cm2),NA,NA,NA,NA,NA,NA,NA
FR556::7_Time zero soil bulk density,Vol. Total (cm3),NA,NA,NA,NA,NA,NA,NA
FR556::7_Time zero soil bulk density,Bulk density (<2 mm) (g/cm3),TRUE,bd,usda.a4,g.cm3,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",bd_usda.a4_g.cm3,NA
FR556::7_Time zero soil bulk density,Bulk density (>2 mm) (g/cm3),NA,NA,NA,NA,NA,NA,NA
FR556::7_Time zero soil bulk density,Total bulk density (g/cm3),NA,NA,NA,NA,NA,NA,NA
FR556::7_Time zero soil bulk density,Bulk density dead organic material >2mm (g/cm3),NA,NA,NA,NA,NA,NA,NA
FR559::2_Time zero soil chemistry,Trial ID,NA,NA,NA,NA,NA,NA,NA
FR559::2_Time zero soil chemistry,Lab ID,NA,NA,NA,NA,NA,NA,NA
FR559::2_Time zero soil chemistry,Sampling Date,NA,NA,NA,NA,NA,NA,NA
FR559::2_Time zero soil chemistry,Method,NA,NA,NA,NA,NA,NA,NA
FR559::2_Time zero soil chemistry,Depth increment (cm),NA,NA,NA,NA,NA,NA,NA
FR559::2_Time zero soil chemistry,No. Bulked Samples,NA,NA,NA,NA,NA,NA,NA
FR559::2_Time zero soil chemistry,Size Class,NA,NA,NA,NA,NA,NA,NA
FR559::2_Time zero soil chemistry,Sample thickness (cm),NA,NA,NA,NA,NA,NA,NA
FR559::2_Time zero soil chemistry,pH,TRUE,ph.h2o,usda.a268,index,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",ph.h2o_usda.a268_index,NA
FR559::2_Time zero soil chemistry,Total C (%),TRUE,c.tot,usda.a622,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",c.tot_usda.a622_w.pct,NA
FR559::2_Time zero soil chemistry,Total N (%),TRUE,n.tot,usda.a623,w.pct,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",n.tot_usda.a623_w.pct,NA
FR559::2_Time zero soil chemistry,Total P (mg/kg)...12,NA,NA,NA,NA,NA,NA,NA
FR559::2_Time zero soil chemistry,Bray P (mg/kg) seq 1,NA,NA,NA,NA,NA,NA,NA
FR559::2_Time zero soil chemistry,Bray P (mg/kg) seq 2,NA,NA,NA,NA,NA,NA,NA
FR559::2_Time zero soil chemistry,Bray P (mg/kg) seq 3,NA,NA,NA,NA,NA,NA,NA
FR559::2_Time zero soil chemistry,Sulphate S (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR559::2_Time zero soil chemistry,Mehlich 3 B (mg/kg),TRUE,b.ext,mel3,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",b.ext_mel3_mg.kg,NA
FR559::2_Time zero soil chemistry,Mehlich 3 Al (mg/kg),TRUE,al.ext,usda.a1056,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",al.ext_usda.a1056_mg.kg,NA
FR559::2_Time zero soil chemistry,Mehlich 3 Na (mg/kg),TRUE,na.ext,usda.a1068,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",na.ext_usda.a1068_mg.kg,NA
FR559::2_Time zero soil chemistry,Mehlich 3 Mg (mg/kg),TRUE,mg.ext,usda.a1066,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",mg.ext_usda.a1066_mg.kg,NA
FR559::2_Time zero soil chemistry,Mehlich 3 P (mg/kg),TRUE,p.ext,usda.a652,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",p.ext_usda.a652_mg.kg,NA
FR559::2_Time zero soil chemistry,Mehlich 3 K (mg/kg),TRUE,k.ext,usda.a1065,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",k.ext_usda.a1065_mg.kg,NA
FR559::2_Time zero soil chemistry,Mehlich 3 Ca (mg/kg),TRUE,ca.ext,usda.a1059,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",ca.ext_usda.a1059_mg.kg,NA
FR559::2_Time zero soil chemistry,Mehlich 3 Mn (mg/kg),TRUE,mn.ext,usda.a1067,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",mn.ext_usda.a1067_mg.kg,NA
FR559::2_Time zero soil chemistry,Mehlich 3 Fe (mg/kg),TRUE,fe.ext,usda.a1064,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",fe.ext_usda.a1064_mg.kg,NA
FR559::2_Time zero soil chemistry,Mehlich 3 Cu (mg/kg),TRUE,cu.ext,usda.a1063,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",cu.ext_usda.a1063_mg.kg,NA
FR559::2_Time zero soil chemistry,Mehlich 3 Zn (mg/kg),TRUE,zn.ext,usda.a1073,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",zn.ext_usda.a1073_mg.kg,NA
FR559::2_Time zero soil chemistry,Total B (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR559::2_Time zero soil chemistry,Total Na (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR559::2_Time zero soil chemistry,Total Mg (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR559::2_Time zero soil chemistry,Total Al (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR559::2_Time zero soil chemistry,Total P (mg/kg)...32,NA,NA,NA,NA,NA,NA,NA
FR559::2_Time zero soil chemistry,Total S (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR559::2_Time zero soil chemistry,Total K (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR559::2_Time zero soil chemistry,Total Ca (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR559::2_Time zero soil chemistry,Total V (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR559::2_Time zero soil chemistry,Total Cr (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR559::2_Time zero soil chemistry,Total Mn (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR559::2_Time zero soil chemistry,Total Fe (mg/kg,NA,NA,NA,NA,NA,NA,NA
FR559::2_Time zero soil chemistry,Total Co (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR559::2_Time zero soil chemistry,Total Ni (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR559::2_Time zero soil chemistry,Total Cu (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR559::2_Time zero soil chemistry,Total Zn (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR559::2_Time zero soil chemistry,Total As (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR559::2_Time zero soil chemistry,Total Se (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR559::2_Time zero soil chemistry,Total Sr (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR559::2_Time zero soil chemistry,Total Cd (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR559::2_Time zero soil chemistry,Total Ba (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR559::2_Time zero soil chemistry,Total Tl (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR559::2_Time zero soil chemistry,Total Pb (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR559::2_Time zero soil chemistry,Total U (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR559::3_Time zero soil bulk density,Trial ID,NA,NA,NA,NA,NA,NA,NA
FR559::3_Time zero soil bulk density,Sub-plot number,NA,NA,NA,NA,NA,NA,NA
FR559::3_Time zero soil bulk density,Sampling Date,NA,NA,NA,NA,NA,NA,NA
FR559::3_Time zero soil bulk density,Method,NA,NA,NA,NA,NA,NA,NA
FR559::3_Time zero soil bulk density,Depth increment (cm),NA,NA,NA,NA,NA,NA,NA
FR559::3_Time zero soil bulk density,Sample thickness (cm),NA,NA,NA,NA,NA,NA,NA
FR559::3_Time zero soil bulk density,No. Bulked Samples,NA,NA,NA,NA,NA,NA,NA
FR559::3_Time zero soil bulk density,Area (cm2),NA,NA,NA,NA,NA,NA,NA
FR559::3_Time zero soil bulk density,Vol. Total (cm3),NA,NA,NA,NA,NA,NA,NA
FR559::3_Time zero soil bulk density,Bulk density (<2 mm) (g/cm3),TRUE,bd,usda.a4,g.cm3,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",bd_usda.a4_g.cm3,NA
FR559::3_Time zero soil bulk density,Bulk density (>2 mm) (g/cm3),NA,NA,NA,NA,NA,NA,NA
FR559::3_Time zero soil bulk density,Bulk density dead organic material >2mm (g cm3),NA,NA,NA,NA,NA,NA,NA
FR559::3_Time zero soil bulk density,Comment,NA,NA,NA,NA,NA,NA,NA
