table,original_name,import,ossl_abbrev,ossl_method,ossl_unit,ossl_convert,ossl_name,comment
FR380_chemical,Scion_Mehlich 3 Mg (mg/kg),TRUE,mg.ext,usda.a1066,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",mg.ext_usda.a1066_mg.kg,NA
FR380_chemical,Scion_Mehlich 3 P (mg/kg),TRUE,p.ext,usda.a652,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",p.ext_usda.a652_mg.kg,NA
FR380_chemical,Scion_Mehlich 3 K (mg/kg),TRUE,k.ext,usda.a1065,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",k.ext_usda.a1065_mg.kg,NA
FR380_chemical,Scion_Mehlich 3 Ca (mg/kg),TRUE,ca.ext,usda.a1059,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",ca.ext_usda.a1059_mg.kg,NA
FR380_chemical,Scion_Mehlich 3 Mn (mg/kg),TRUE,mn.ext,usda.a1067,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",mn.ext_usda.a1067_mg.kg,NA
FR380_chemical,Scion_Mehlich 3 Fe (mg/kg),TRUE,fe.ext,usda.a1064,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",fe.ext_usda.a1064_mg.kg,NA
FR380_chemical,Scion_Mehlich 3 Cu (mg/kg),TRUE,cu.ext,usda.a1063,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",cu.ext_usda.a1063_mg.kg,NA
FR380_chemical,Scion_Mehlich 3 Zn (mg/kg),TRUE,zn.ext,usda.a1073,mg.kg,"ifelse(as.numeric(x) < 0, NA, as.numeric(x)*1)",zn.ext_usda.a1073_mg.kg,NA
FR380_chemical,Lab 3_Sulphate S (mg/kg),NA,NA,NA,NA,NA,NA,sulphate-S was measured by IC (Ion Chromatography) after 0.02M potassium phosphate extraction; Garrett et al. (2022)
FR380_chemical,Lab 4_Total B (mg/kg),NA,NA,NA,NA,NA,NA,"Elemental totals for aluminium, arsenic, boron, barium, calcium, cadmium, cobalt, chromium, copper, iron, potassium, magnesium, manganese, sodium, nickel, phosphorus, lead, sulphur, selenium, strontium, thallium, uranium, vanadium, and zinc (Al, As, B, Ba, Ca, Cd, Co, Cr, Cu, Fe, K, Mg, Mn, Na, Ni, P, Pb, S, Se, Sr, Tl, U, V, and Zn) were measured by ICP-MS (inductively coupled plasma mass spectrometry) using a modified USEPA digestion method 3050B to include a reverse aqua regia digest of 1 HCl: 3 HNO3 to limit Cl- interference; Garrett et al. (2022)"
FR380_chemical,Lab 4_Total Na (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR380_chemical,Lab 4_Total Mg (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR380_chemical,Lab 4_Total Al (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR380_chemical,Lab 4_Total P (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR380_chemical,Lab 4_Total S (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR380_chemical,Lab 4_Total K (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR380_chemical,Lab 4_Total Ca (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR380_chemical,Lab 4_Total V (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR380_chemical,Lab 4_Total Cr (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR380_chemical,Lab 4_Total Mn (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR380_chemical,Lab 4_Total Fe (mg/kg,NA,NA,NA,NA,NA,NA,NA
FR380_chemical,Lab 4_Total Co (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR380_chemical,Lab 4_Total Ni (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR380_chemical,Lab 4_Total Cu (mg/kg),NA,NA,NA,NA,NA,NA,NA
FR380_chemical,Lab 4_Total Zn (mg/kg),NA,NA,NA,NA,NA,NA,NA
